,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
10109,13798,20511155623,,"Calle Las Tiendas 261, Of. 402",Surquillo,Lima,Lima,0,Pequeña Empresa/Small Size Company
10110,13801,20219019115,,"Av. José Pardo 223, Piso 13",Miraflores,Lima,Lima,0,No disponible/Notavailable
10111,13802,20514438961,,Av. Minerales 349,Cercado,Lima,Lima,0,Mediana Empresa/Medium Size Company
10112,13803,20501961869,,"Av. Juan de Arona 151, Pf. 705",San Isidro,Lima ,Lima,17,Mediana Empresa/Medium Size Company
10113,13804,20101792545,LAVISA,Av. Prolong. Iquitos 1880,Lince,Lima,Lima,83,Mediana Empresa/Medium Size Company
10114,13805,20514853780,,"Av. Alfredo Benavides 1555, Of. 401",Miraflores,Lima,Lima,13,Mediana Empresa/Medium Size Company
10115,13806,20106753751,,Jr. Dante 1210,Surquillo,Lima,Lima,93,Mediana Empresa/Medium Size Company
10116,13807,20100008824,,"Calle Miguel Capurro 216, Urb. Ind. La Chalaca",Cercado Callao,Callao,Lima,0,Mediana Empresa/Medium Size Company
10117,13808,20123257899,LAVANDERIA AKI,Av. San Borja Norte 399,San Borja,Lima,Lima,0,Pequeña Empresa/Small Size Company
10118,13809,20124374554,,"Av. Santa Luisa 615, Urb. Azcarrunz Bajo",San Juan de Lurigancho,Lima,Lima,0,Pequeña Empresa/Small Size Company
10119,13810,20348133889,,"Av. San Juan Mz. A, Lote 16, Urb. Santa Martha",Ate,Lima,Lima,128,Mediana Empresa/Medium Size Company
10120,13811,20123964579,,"Calle Los Plásticos 280, Urb. Vulcano",Ate,Lima,Lima,146,Mediana Empresa/Medium Size Company
10121,13812,20551307019,,"Calle Jorge Salazar Araos 129, Urb. Santa Catalina",La Victoria,Lima,Lima,6,Mediana Empresa/Medium Size Company
10122,13813,20517439623,	LAYHER PERU SAC,"Calle Dos Mz. R, Lote 1, Urb. Los Huertos de Lurín",Lurín,Lima,Lima,107,Mediana Empresa/Medium Size Company
10123,13815,20510260041,,"Av. Felipe Pardo y Aliaga 699, Of. 802",San Isidro,Lima,Lima,20,Mediana Empresa/Medium Size Company
10124,13816,20517476669,,"Antigua Carretera Panamericana Sur km 40, Mz. F Lote 13 C, Urb. Santa Genoveva",Lurín,Lima,Lima,0,Pequeña Empresa/Small Size Company
10125,13817,10097172205,,"Calle Los Antares 320, Of. 407, Torre A",Santiago de Surco,Lima,Lima,46,Mediana Empresa/Medium Size Company
10126,13818,10081687833,,"Jr. Lorenzo De Encalada 319, Of. A",Rímac,Lima,Lima,0,Pequeña Empresa/Small Size Company
10127,13819,20546747248,,"Jr. Batalla de San Juan 871, Urb. Las Gardenias ",Santiago de Surco,Lima,Lima,57,Mediana Empresa/Medium Size Company
10128,13820,20111060135,LBF MOTORS S.A.,Av. Alfredo Benavides 1730,Miraflores,Lima,Lima,0,No disponible/Notavailable
10129,13821,20340772581,,"Calle Los Melones 142, Urb. Res. Monterrico",La Molina,Lima,Lima,0,Pequeña Empresa/Small Size Company
10130,13822,20521368731,,Av. Prolong. Parinacochas 2104,La Victoria,Lima,Lima,0,Pequeña Empresa/Small Size Company
10131,13823,20553020736,,Calle José Gonzales 668,Miraflores,Lima,Lima,3,No disponible/Notavailable
10132,13824,20601124182,,"Av. Circunvalación del Club Los Incas 134, Of. 803, Torre 1",Santiago de Surco,Lima,Lima,0,No disponible/Notavailable
10133,13825,20269721830,,Av. Del Ejército 1200,Miraflores,Lima,Lima,71,Mediana Empresa/Medium Size Company
10134,13826,20112289098,,Calle Domingo Casanova 423,Lince,Lima,Lima,0,Pequeña Empresa/Small Size Company
10135,13827,20101473016,LEAL DISTRIBUIDORES,Jr. Recuay 255,Breña,Lima,Lima,0,No disponible/Notavailable
10136,13828,20501703819,,"Calle Los Eucaliptos Mz. I, Lote 5, Urb. Shangrila",Puente Piedra,Lima,Lima,31,Mediana Empresa/Medium Size Company
10137,13829,20524981981,,"Av. José Larco 1301, Piso 10",Miraflores,Lima,Lima,27,Mediana Empresa/Medium Size Company
10138,13830,20377892918,,"Av. José Pardo 231, Piso 6",Miraflores,Lima,Lima,37,Mediana Empresa/Medium Size Company
10139,13831,20536938738,,Av. Alfredo Benavides 2856,Miraflores,Lima,Lima,0,Mediana Empresa/Medium Size Company
10140,13832,20501735699,L&M LABORATORIO E.I.R.L,Av. Arica 1553,Breña,Lima,Lima,9,Mediana Empresa/Medium Size Company
10141,13833,20513583681,,"Av. La Encalada 1257, Of. 301",Santiago de Surco,Lima,Lima,8,Mediana Empresa/Medium Size Company
10142,13834,20100067758,,"Calle Marie Curie 381, Urb. Ind. Santa Rosa",Ate,Lima,Lima,181,Mediana Empresa/Medium Size Company
